ITEM_ID,PRICE,INTEREST,DESCRIPTION
8Oqc0M7uNWpqJ1dc7OypbUde,42,4,TMH3ykUf5ekdYyLhUQkCaCiG
KVvQAzYkIOKLvVa0X2fPs8FO,91,3,A4QTRTgr2pBg1cefropOCl24
gU0D4CqXIBdxGy0zrYdlrodl,85,2,1yDUOG9CQITdddfXQLGYU6fb
N8Ma4v4da0OLoFldzR6TzkWI,0,3,JYn42beZwGFjUUdedPnqtjuJ
fkYI7DcyQ8FOILXpvGimeB2x,42,5,pbmtad9DJ33EHNIcs7bQECBx
QmaiyAvN7C31zUTQq1p7ZIL9,73,5,DFyz7nKzk3gDXqnBJPq8R7lw
HNnFT8zFAipYf8JzVNZ4P5iX,57,4,W0Ecg3iRRrRb2W6YIej6kb9h
TkJYUEXrRlPUYlbY7m9aXI1c,2,3,MmQCDpuCx7RMW6aMzlZj1c8s
vLT8ZoBqSV5rMoNoGiffOEby,44,1,jcIpBV2wGCLpMhDk3sXEV71L
hEbkDcHKzuPSOJrLrk5c7Ccm,6,3,PwdLjJIxMWQgLs4xxUAy0BjQ
HkRDvl9u6ZqfPejtOxxJ0nEa,57,4,wrpQDP9APrFzjWe8BhcNUI66
noEp4saDx9D7hEcAMT9cgdSw,19,4,cYIQdJscvwnDWfiA5MfYiDUA
hBD7kYlt6dTdEwFf04a9tnkZ,81,1,tC8iyCBjTXlVsEkPwgTGw8VB
jUSJXHhibrqEidqXGzsjcAww,92,1,cUbzTTXc52UbTYlGl3J72riA
ELLbWqw7QPdsZVrYCEAylBuS,57,5,CBCcogR0tkYxzVKnccZphks7
Aku1yv5AGUGhq3Bt6PDNND2n,65,5,5dtBbruwuYIupThHAvzIsEkj
Em9AXKbiCh94UNVbSfMEAzvi,65,2,VQRU71iVfigU0X3QfCS1I8UB
AM9lagoqsocpb82gW07etfyM,95,3,CKZlqk8tuDAnYpnyjah2rzhk
HXQ8T002QsFAhXAGI7N7rN5x,48,2,IcdF38qzxFWu2dARvTzlQ694
SdTclMe8OuEG0IFOlHi8fPss,10,5,ye3ZgO9cXLRFoi9HC0u7keRe
i6Vim6hxhNhy8QRkmtlEqwuk,94,1,ByZGyx9cFJBBPtvwy7GjhGmv
gj3cU1KsDaMVd9GtVqhYtXQC,74,5,vZyEj2Q5V9zAgm5NwC3X2FK2
wfIL32cc5ZCJgQcRMnBNCD9s,82,1,OujFRUSi23oFDBrCgGOas3y4
nTGEsLpDN9vXnOspev7uTLrI,33,3,rabFYUMUVg7KfBYLQl6RNv7y
tDm4zCe6PAEgPxGKxk62OzBW,70,2,vfYEdcSQsSpUDf4B4vH8z4Gh
IcLDkMCfFe0AOp5AZO53g11i,99,1,Z4poDqfOFSoOdGh6IF7AsLOq
FDM8Nj7uCdyASu98S2WoEk8a,91,3,Cuy5rwu6sbhYtwFXsSLodFZh
CfaXE3XlTc2Y03ooMsyjZ0jG,31,3,WJQ6mFTHK6beBhWIgmwfHKaS
wIURbsqP8iO8wmvxQunqTCNk,5,4,hPNmtMtDrgUYerJB4lYhsKzZ
oFqwnbeY9v1QDgv5JaNPd9TP,47,1,c8tLYewMhOkbu9VWMWuwEwqr
mNLWn09QZvE1fIRzVs9NYoOS,81,5,DkFPmj3F0Sx696IBBE3FK9jk
flH8twwsdsoLr9sWduEdzLID,5,3,RuONbT6VHMZ7TIHJhlpowfzj
AEvqh0VE5sXA9wvwVjZHikbh,91,5,tNK6dWlbpRJk39OEdrNvkh0k
muQiXkPGI5clGTjFlTEh7qxX,41,3,AIoAAxv2yKnv5p4ABudacbLu
hOp1RNgPrO28sigM3PQz6JnY,14,2,GpaLKj9vN9URG2ktz7ULFent
MVo6K8tLZdfWpXmqrWJHGuX3,12,3,susWEpID1xBI8PVnKvHeceXN
Cl8PVFKq6fwYoyvuXcnua5w5,44,3,e4fR785ejIAjd2QylAiKI21V
OVta8vLeA2GVWLdpD8g1sSLB,65,2,dL5rndFtoSQRN6Z1m8XvEoTh
fpPRktUj6lOvz8z6cNYaYzsT,68,3,46Kaj6e1YKOv9l9bgE0ELKPR
4RKUZOlRaqT6XBAOtZvqySQn,22,5,LguqPocS6p136TYJCPnhw8cQ
w1YPRz7WDpupqffYo0nc1TgE,91,3,RRDfuTuAaSEM4jv8PJmwG8Du
TqhvSxMguzaQUaRH3AwJFQvu,83,4,oaKuKWnEDqXakB48rVIxrS8D
eZydN7dOu8BB8LWQFhgZosbf,86,5,qJd7i7lOjEomBsAgp9bXiys5
gtmkFWjzKUn5yMEZMhFDsy2a,73,3,Y4v169Aa9HU3X6Zcc0NMDPAO
5fQE4FlaIok9z3krdiVPUWPY,3,2,b2CcIQkjZ6a9NSwLlWkryu7j
IqnsNjZKpA1Ka5UIb4ONFPAE,42,2,HvvKeolywdgQrKN8fg3ArwNy
kSg9P0kII0G3DhL1VrYq09X1,73,3,TQrItRULMVlprTaz6TTmAcm7
uAhTeHBAUsye1dLVlEQ3AUaT,59,3,kibpwD5FgtyNiLwsFYeGeiiq
V59ImFvwjKGu6ONXVkVup5ck,17,1,q7bOaPGzFG3PmlNojM9d6EtA
1Dp8b9xVOI9Bvt7DziPl2PPX,38,1,tmKQIFTTX8kDdd9TCqJJrLuJ
Gs4rjHUOVhgzHWDFZtvVLq6j,67,4,mRMPC7nHVNEou9RKdAvpC8Bx
X3ifYDjmrnQY7qjNJJOC7nnk,46,1,O9GDqiejcmp9tlnn2V2T9tqM
FMlw9rXUobMf3khKSrVhttSy,95,2,n7jwqnEJ7zTDwozyQt6icF3L
f8O2XWdgqA8mTYkK8m47cK3u,5,2,jGA6xAV1edq7xCPsfcNfDCCo
ij1TTM261gcBMNHwA1p4PCDk,29,3,6g7K8kuLmxZl5WWSA8NOGQc1
83p7bHA98fFXqFJCKik0sw6o,91,4,XhgjRCfexOIqrQjp0Cx27gat
gXvl6EUSutyyZU0FL3bEzzDS,42,3,OnbJAhy0X4ZFkhjo9ZnFkDUu
s6Ns8FsuXcakCLltTX3hg1h6,59,4,ZcKun9jBXuTJ7AfuHwXsg60Z
SMZJNQNOi0p4WJ58KLXXOyb9,63,3,ejoI9KAcmkNIA1IlVvENubDe
v6ZLgqm8UjJ6x0INnu5RF2bp,36,5,AeEOF5xSkEQSLVfbO2MxZfR9
1iUMCpY7lLKQipyxOqLstIYD,35,5,K5ZM0zrMyHD6S0kISi5ZoExu
gwc7SyLXDKhJBOBHAvmtQdyi,58,4,Xp0pSrniv2fLRCqJd3wZeW8M
qqkbTEK8oNDp1lQ6umqpwVIc,57,4,f6FgF01V8kJo1ZCIf0p7avBg
z3GzQHGmpbkwuWPxZJHFF50E,92,2,tw33wiOQWcNKVTM1ZuFhpJ0F
lmHnnToCDhRmlFmKLq9PwzZW,78,4,kueF6AaZPXuftD0SHlpfbA94
y5AUwpQAmKDLGsQzm1LFmsR5,80,2,B63Ks1dyn3DJ6cIml9IevlSm
sHimXau5Zdmw15SySuYxVBnp,71,2,14kgycsHKOQMm2aMAbXbgBgo
QuG0yduh4LdT72TtdX1RdrUC,22,3,fGgxmMHZhyRq5bPVlBLHnHBh
fNo9JBOQJerCvDfEZ3bazzV9,58,5,yRdLF0ptRtuKEEeSMZyG7TDg
HPdD7IXYYAmnjWGqJDyQeUgK,9,4,2bhrjBrc6eaEP5LeprQx4ew8
yJHl9YwMX4xK9ofV5tez5NRz,59,2,JqyrxYOUmpjrD6dZykzD6XUo
zADKHD7bLrPYrwFbD157kfQM,48,3,Tt75tyHgF2qiCbDjsu1aw8A2
Hq9fGRcMYMQ1ln1N0xUuQJqA,21,4,3ztec7j5BWFdBM1z8ozWtbnI
5e2grz5e7eq7xhTi4oWebAk1,43,5,HN5MWXIfbwTQEgoV8UjaznzN
DzldjXL8aCjYa0JRka3vUZeU,17,1,TcdvLINvUW0uxxtkMqzu3DSQ
mOcbQCDSG5YAdzM168rqQ2vf,89,2,2qftQxEJx4rfFrFehNSnUFb8
t84icHxoGYk790HPWUsGvlmq,26,3,yW78hBD5wDFb4Xc1IYs9zdSL
w83m06CKfFZITJPUa7vN7s9z,41,5,bF6wOrFQC18My2frv4GYmrE7
512Xp8Dv0QV50QnxpkDWuuOU,40,4,hffatwe0H0XHtinrzMjUwPHP
WWbwTKKw7tgUHMwBaNROm0Hf,66,4,cns0kKrukZKTqZAtYLLdCQRX
946lx3q8xkYU5ZVaXLpt3Woa,41,5,UjUXp0AXdfMsCbctveK2Sno8
qsU2pnDK7ICMiLd3FyLdCwb0,90,4,wgLYLJMF5hTmqxEWAwnFB66o
d4JIjqAV24SYf5VoxHLhmI7D,71,1,gxIJjaW3gbyKrV9NgSZX8hex
HneNppg0eD3Bnd4my7KTpUJf,23,4,Fg7pWSB77YrBH8OK1wxSx9rR
k7HIYsb6KJtkTwdnlX3n85sG,73,2,hagAda99RGTSUkD2D3ZIEJBa
ocCbvSFeYIcSjhJxkSGpBVOs,13,5,stzjfHEd16itnrXHgL4PCBT9
oUXwsq5D3toj5eFRO8c8hMJu,57,3,S53GrL4lv8whyLzOgLPPneGT
uL9hAfFqFmObhvH1NelTJB3E,56,2,8PEGbuQWNe8glHApv36q1S92
bCBwdFuGwt9CuuiqNThoLBMa,80,2,sRAXIPxaFapiR5Pe7SF961cu
ndN6SM9uMYAiDIaH6ldOEKrs,41,5,IOQtKcRZXqnWzsWsM44jQe9L
X0vHIeiO3MaWOWAmWqmQZuyQ,93,2,w61YaunVo2nVR6qobbt21r9K
fxxJhOc9RbTrCTM0bok0V5Ub,78,5,OWmyi28sADoUIFfxeVqEme76
jnfYgYx9M1Rcl8Z2ysFl8Q7p,92,2,6ao5YLv9RtBL3DraSH3UtEfU
7AkoGinc65LdFNAeIx8TrNgg,35,2,qeLlaWgymKO0mcSo7c9oc3cp
V1ForL1OsMdgzDFYzhWwJUsk,34,1,BJa9lSW4ZcfxmiXiZHVF92om
fPeGUFXZv2Ie5dT8bLAV6TVt,47,3,C4634JScnHCQivB0HwR7XIwx
uI7Mns7XOiLaB74Zinaf6Git,56,4,Gt5OsiCeuzHh0Ws9BE4S2goJ
QRLfATUxJhkAFY5tNKpiOxji,39,4,zNCFvmpBjAS5OeWMLzV9YhMT
oogMtCc8bssyjfb6Zas2lYSE,22,3,CcGFW25OTCyGvBXsUL8fyk2I
XsWalXWfx1lPq4rgmFmAfZ6s,84,1,NSsbWMObKR42ULncolNCpbAO
NTh6mMGd9qUw2oQreAFUsSF4,2,5,K8Q9jeeuJeDg41J9fpm2PTii
xRN3qRGSjSIcBdiiIeHa0i6x,33,4,vzWM6wLOwZxeI2pWLLoiRoJ2
arLe1nZXZOb22VMfqZrxWrJU,14,4,y3FeQ4Awe8HUBfVdEpb58mMg
vyhOldoRj4DFTcaBh6TQI0xk,92,2,pStgm4z8VT3xwKFgHSUYRrR1
YsYRy8mQbzT7f1mmQoqwDGDr,67,5,pIBiaa6MXp8FqQhutFraAjAE
cVCxIf4QR3HpBBCraJuu25JI,12,3,7ipGQqAtjmupMQGsCk0bzYHW
OWfKvgP5iXVCqHcvaJuu6rer,63,4,ivSs2eg5utohAJbAnOnYQZQu
qaJXmh4VzmVaXZRgRFk3z4gW,53,2,9ov1FUx9E8sGpGaX0auI8fGx
96EbdKLj3tocOTV7qiJf9QAU,29,4,2GzVAKYLCDW2Gn5usHwjLZcw
QBGPC3gXOnINicgy8PIN0mnt,72,2,yQ96CQhHsvQHGK0ZDECeyVVY
FXHXSetqtL6RnpBjnr2cua12,60,5,vrfRaan06dE8zV6TsG7f9Yqu
4Il0vzDgeOGCLSue6BUXYdm9,11,2,myYXImQid8lUNebLUmjoBu4n
rB1xQ4eFGx190SEkCjovFDnH,6,5,GveOQLN7ssOlE1WACLCY3Rqm
F7A2IGfMe54ClGOXNWbDbutX,23,3,8M46pnFLSMOAJzyIKlInyePO
qeRw9yELc8OUtqZ4IW3CD6uT,30,1,uXo3V3T2cxXJAECHMN3MgMQW
FmBpWcdaLK0AFNgfTE8YMId0,70,2,pjUBZErMW8GuYZk3vsM7EZ9g
A9zwpAwRGZjYHzximg1zPpOI,44,3,n9dmsByfQYx5dQthpUJvZISu
xJMtKtSOrKZOMoTZDqLy2vGy,17,2,e49I5JTcVEnLQ8mpCuSsnpKc
Qj1Qoa06OCxGgesC3AH2W45r,5,1,RocEOZIJdPTxYgdvMuKSL31Z
VH4KpE9fdNQXfdZ59avO7E8i,8,4,q6DMQdKbdnqB2nWZK5bXC80Q
b3xF90YlaRuGyatDK0NFvcUO,4,3,YBqDfqmw6eusOnaUZHdj0F2F
BMzvJKHjx93mN7Qi3rYsr0dS,70,4,xT3rlA3Xpsqc7EWtM4Q7c2NF
mOm98HDhQeOvk1y22pncg7Ky,36,3,sxNnGNfLz5UUxkC1hmX9S5rv
lPPo0987YoFC2PGF1YV0570Z,28,2,LwsNJpnmiudK0vA197j4jbX0
yLq2OhU3ZTkgxyb3U0KosqZ5,9,2,iVjx9NMAGOLVDSTSlcnxEJDd
LOIoYKJBkHL9ElR8hmlD9n1u,100,1,cQs3Pqs3619AewiIQEFX1cRa
TmNJHda2PmGT4GrTH8KMnQ9G,39,5,d0h1WHoOJvYMix3FEJpmSXqE
LmhWpG9RRY5MclxC2X78g52r,36,3,lNlBc4OMsxS8rFiMbfOKBCiQ
